,id,class,is_athelete,grad_school,degree,time_between
1,1,2018,1,1,OTHER MS,3
2,2,2016,1,1,BUSINESS,4
3,3,2002,0,1,OTHER MS,4
4,4,2001,1,0,NA,NA
5,5,2006,1,1,MEDICAL,4
6,6,2017,0,0,NA,NA
7,6,2017,0,0,NA,NA
8,7,2008,0,1,OTHER MS,2
9,8,2001,1,1,OTHER,2
10,9,2007,1,0,NA,NA
11,10,2014,1,0,NA,NA
12,11,2017,0,0,NA,NA
13,11,2017,0,0,NA,NA
14,12,2018,0,1,LAW,4
15,13,2004,1,1,OTHER,3
16,13,2004,1,1,MEDICAL,2
17,13,2004,1,1,MEDICAL,3
18,14,2002,0,1,LAW,3
19,14,2002,0,1,OTHER,10
20,15,2018,1,1,LAW,14
21,15,2018,1,1,STEM PhD,4
22,16,2007,0,0,NA,NA
23,17,2017,0,0,NA,NA
24,18,2018,0,0,NA,NA
25,18,2018,0,0,NA,NA
26,19,2005,0,1,OTHER MS,3
27,19,2005,0,1,MEDICAL,1
28,20,2016,0,0,NA,NA
29,21,2004,1,1,OTHER,4
30,22,2002,1,1,OTHER MS,1
31,23,2014,1,0,NA,NA
32,23,2014,1,0,NA,NA
33,24,2004,0,1,NA,3
34,25,2009,1,1,OTHER,5
35,26,2004,1,0,NA,NA
36,26,2004,1,0,NA,NA
37,27,2016,1,0,NA,NA
38,28,2016,0,0,NA,NA
39,29,2019,1,0,NA,NA
40,30,2001,0,0,NA,NA
41,30,2001,0,0,NA,NA
42,31,2008,1,0,NA,NA
43,32,2008,1,0,NA,NA
44,33,2004,0,0,NA,NA
45,34,2004,0,0,NA,NA
46,35,2003,1,1,STEM PhD,2
47,36,2010,1,1,OTHER,4
48,37,2019,1,0,NA,NA
49,37,2019,1,0,NA,NA
50,38,2013,0,1,STEM MS,3
51,39,2008,1,0,NA,NA
52,40,2001,0,1,OTHER MS,5
53,41,2001,1,1,LAW,5
54,42,2008,1,0,NA,NA
55,43,2005,1,0,NA,NA
56,44,2018,1,1,NA,3
57,44,2018,1,1,OTHER,3
58,45,2008,0,1,OTHER,2
59,46,2008,1,0,NA,NA
60,47,2014,1,0,NA,NA
61,48,2008,1,1,LAW,3
62,48,2008,1,1,LAW,2
63,49,2002,0,1,LAW,2
64,50,2013,1,1,OTHER,17
65,51,2008,0,0,NA,NA
66,52,2009,0,1,OTHER,3
67,52,2009,0,1,OTHER,2
68,53,2007,0,1,STEM MS,10
69,54,2002,1,1,LAW,7
70,54,2002,1,1,MEDICAL,2
71,54,2002,1,1,OTHER,2
72,55,2007,0,0,NA,NA
73,55,2007,0,0,NA,NA
74,55,2007,0,0,NA,NA
75,56,2014,0,1,OTHER MS,5
76,57,2015,1,1,OTHER,11
